"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1520","76408","12 Grimmauld Place","-",2022,NA,"286","Harry Potter","1083",NA,"Ages_8+","9,","Box","NA","Retail","Small"
"1521","76409",NA,"264.11 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1522","76410",NA,"264.11 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1523","76411",NA,"264.11 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1524","76412",NA,"264.11 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1525","76413",NA,"396.17 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1526","76414",NA,"609.49 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1527","76415",NA,"730.85 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1528","76416",NA,"609.49 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1529","76420",NA,"360.28 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1530","76421",NA,"265.47 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1531","76830","Zyclops Chase","151.36 Kr",2022,NA,"60","Disney","87",NA,"Ages_4+","2,","Box","NA","Retail","Small"
"1532","76831","Zurg Battle","304.61 Kr",2022,NA,"107","Disney","261",NA,"Ages_7+","2,","Box","NA","Retail","Small"
"1533","76832","XL-15 Spaceship","-",2022,NA,"199","Disney","497",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1534","76895","Ferrari F8 Tributo",NA,2020,NA,"92","Speed Champions","275",NA,"Ages_7+","1,","Box","0.32Kg (0.7 lb)","Retail","Small"
"1535","76896","Nissan GT-R NISMO",NA,2020,NA,"101","Speed Champions","298",NA,"Ages_7+","1,","Box","0.34Kg (0.75 lb)","Retail","Small"
"1536","76897","1985 Audi Sport Quattro S1",NA,2020,NA,"102","Speed Champions","250",NA,"Ages_7+","1,","Box","0.31Kg (0.68 lb)","Retail","Small"
"1537","76898","Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY",NA,2020,NA,"186","Speed Champions","565",NA,"Ages_8+","2,","Box","0.73Kg (1.61 lb)","Retail","Small"
"1538","76899","Lamborghini Urus ST-X & Huracán Super Trofeo EVO ",NA,2020,NA,"202","Speed Champions","663",NA,"Ages_8+","2,","Box","0.85Kg (1.87 lb)","Retail","Small"
"1539","76900","Koenigsegg Jesko","-",2021,NA,"108","Speed Champions","280",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1540","76901","Toyota GR Supra","-",2021,NA,"102","Speed Champions","299",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1541","76902","McLaren Elva","-",2021,NA,"94","Speed Champions","263",NA,"Ages_7+","1,","Box","NA","Retail","Small"
